Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","4u7","C_0805_2012Metric",153.000000,-107.700000,0.000000,top
"C2","100n","C_0805_2012Metric",156.500000,-97.900000,0.000000,top
"D1","3V6","D_SOD-323",151.400000,-97.500000,90.000000,top
"D2","3V6","D_SOD-323",153.400000,-97.500000,90.000000,top
"J1","USB","USB_A_CNCTech_1001-011-01101_Horizontal",144.220000,-102.700000,270.000000,top
"J2","ICSP","PinHeader_2x03_P2.00mm_Vertical",160.200000,-99.400000,90.000000,top
"R1","1k5","R_0603_1608Metric",149.300000,-104.900000,180.000000,top
"R2","68R","R_0603_1608Metric",149.300000,-100.500000,180.000000,top
"R3","68R","R_0603_1608Metric",149.300000,-102.700000,180.000000,top
"R4","470R","R_0603_1608Metric",163.200000,-102.700000,180.000000,top
"S1","Function","SW_SPST_4.5x4.5x6",161.400000,-106.700000,180.000000,top
"T1","SFH3710","DIODE_0805_2012Metric",159.437500,-102.600000,180.000000,top
"U1","ATtiny85-20MU","QFN-20-1EP_4x4mm_P0.5mm_EP2.25x2.25mm",153.900000,-102.500000,0.000000,top
